t,cpu,ram,disk,err5xx,latency_ms,anomaly_score,is_anomaly_raw,is_anomaly_strong,is_incident_point
0,25.60943415950886,39.32207353021974,55.126602255147674,0.0,76.70468493637395,-0.172529762464609,False,False,False
1,23.020025120985675,39.05118111853668,55.45260920111309,0.0,79.02840823081856,-0.18776910379800588,False,False,False
2,26.700849062546084,40.75099621768542,55.146660628268435,0.0,83.93859494968183,-0.1992714184345991,False,False,False
3,27.180949465179648,40.52771913075454,56.134415833207214,1.0,78.60861686994573,-0.14536328660425785,False,False,False
4,21.49750309253819,38.09266456335469,55.734893726235214,0.0,81.83825426614014,-0.18251682900059352,False,False,False
5,22.894808069509505,41.93372813044654,54.87123611764149,0.0,81.05780208317452,-0.1573612352418739,False,False,False
6,25.854241842779167,40.15820838691424,54.870986283096464,0.0,79.05413554589171,-0.16792220540556285,False,False,False
7,25.065230388534015,38.68280991586837,55.269848359742674,0.0,79.44451872336946,-0.17664738160337656,False,False,False
8,25.76298871806265,42.181992039397755,54.620990409787154,0.0,82.94171162534013,-0.15242036965548755,False,False,False
9,24.18906001198196,41.38682775481502,55.62814415326625,0.0,78.07914076240085,-0.19796394103866743,False,False,False
10,27.75214260370096,38.60087541015837,55.23080026092179,0.0,84.01089481705529,-0.18044222252323255,False,False,False
11,27.646731986262246,43.21269841554916,55.18322945542926,0.0,80.53385738344552,-0.18994667252029546,False,False,False
12,26.320574527258103,41.584204044934474,55.403476833885414,0.0,83.14464313002827,-0.20666025978858876,False,False,False
13,28.539885173396843,40.629632102226886,55.92641494168453,1.0,88.384723598604,-0.14067650799862574,False,False,False
14,27.31679692732466,43.07899362533556,55.15547767609375,0.0,82.3883977823814,-0.19478692625126803,False,False,False
15,24.759016107540223,40.981158553508024,55.01847981456431,0.0,86.95116432872949,-0.17142104876058462,False,False,False
16,27.310334371245585,40.74842756077456,55.83435981166129,0.0,76.3129808393098,-0.20020317806809523,False,False,False
17,24.749670259046077,39.84822270232194,55.56877520799557,1.0,81.80710650612458,-0.136835016631289,False,False,False
18,28.518271768989997,41.75933627894464,54.92951007980814,0.0,84.0049379073908,-0.1943520243454308,False,False,False
19,26.754750525092405,41.64910655346077,55.09759322432951,0.0,91.79120802790632,-0.179620104460826,False,False,False
20,26.57736698445273,41.003604300223024,55.1976904579694,0.0,76.459755302244,-0.18473628514904988,False,False,False
21,25.676943176489967,39.843713891564946,55.285906472302486,0.0,84.11427935798889,-0.19428072633865512,False,False,False
22,29.57478000267806,41.27041179403496,54.43170007453044,1.0,90.52320768386707,-0.06046034578444348,False,False,False
23,26.910681570689995,41.01734367675193,54.343757696099225,0.0,81.75138499352286,-0.13038478562896483,False,False,False
24,26.4522402333812,39.16804354882465,54.67630498899877,0.0,84.23271026761033,-0.14274265674503533,False,False,False
25,26.692860592044557,39.006425163697095,54.64263077849433,0.0,86.60110979794082,-0.1422370041008747,False,False,False
26,28.54901906032538,42.10742516832607,54.80808799301375,1.0,86.199672007772,-0.1100359024596399,False,False,False
27,28.301568086993722,37.402064129756155,55.452355321045,0.0,91.90950663576801,-0.13785061112425667,False,False,False
28,28.481396212796394,41.65785143210989,55.05553542183763,0.0,87.6223186721648,-0.19900706233965904,False,False,False
29,28.601761689975135,40.677075176483214,55.243197302505095,0.0,91.31863559650063,-0.19035202551666824,False,False,False
30,32.1065075687161,43.400646526132476,54.537848294978865,0.0,84.74366460145772,-0.09164608571650446,False,False,False
31,27.092345769917294,40.74175164274637,54.92417889853953,0.0,83.39469684957365,-0.1883485395022968,False,False,False
32,26.961491748668884,42.51444597417174,55.45362883087242,0.0,85.62386715580475,-0.2046383979423212,False,False,False
33,26.438038803371413,40.97269092493529,55.4624762290884,0.0,82.05708602903425,-0.20799886509704635,False,False,False
34,29.375923965243334,41.781090388411094,54.807713085906045,0.0,88.79097836668026,-0.17793671527162558,False,False,False
35,30.47903302163024,42.75768208404098,55.25583119318977,0.0,85.47346631044637,-0.18642069108479942,False,False,False
36,28.069028444547616,41.00009384569823,56.27942392674117,0.0,84.48640530908533,-0.2190257490821369,False,False,False
37,26.69112660421567,43.229789354954335,55.17620103537218,0.0,89.32123434157225,-0.18801889970477625,False,False,False
38,26.79564479417028,40.28495789921653,54.843406526928774,0.0,82.90115945975232,-0.1791548417333622,False,False,False
39,29.817582671651454,42.257448481045685,55.108118805318924,0.0,90.70376158456158,-0.18871754500839039,False,False,False
40,30.0732887969045,43.239068993390994,55.24608855376342,1.0,85.85036965904116,-0.11223181489218292,False,False,False
41,29.742037685244867,42.8842005426549,55.12941580965472,0.0,92.53823769561025,-0.17586306405853896,False,False,False
42,27.39219618527691,44.80732037681619,55.19432264966175,0.0,86.46513232402584,-0.15604244551837765,False,False,False
